,id,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
264,AH17A080,0,1,0,0,0,0
265,AH18J074,0,1,0,0,0,0
266,AH17D127,0,0,0,0,1,0
267,AH20C069,0,1,0,0,0,0
268,AH17E044,0,0,0,0,1,0
269,AH17C021,0,0,0,0,1,0
270,AH17A032,0,0,0,0,1,0
271,AH19K012,0,0,0,0,1,0
272,AH21K093,0,0,0,0,1,0
273,AH17A047,0,1,0,0,0,0
274,AH17E022,0,0,0,1,0,0
275,AH18L072,0,0,0,0,1,0
276,CPO134,0,0,0,0,1,0
277,AH20G057,0,0,0,0,1,0
278,AH17A042,0,0,0,1,0,0
279,PAE001,0,0,0,0,1,0
280,AH17D118,0,0,0,0,1,0
281,AH17A004,0,1,0,0,0,0
282,AH17B046,0,0,0,0,1,0
283,AH17B056,0,0,0,0,1,0
284,CPO545,0,0,0,0,1,0
285,CPO470,0,0,0,0,1,0
286,AH17B013,0,1,0,0,0,0
287,CPO443,0,0,0,0,1,0
288,AH20L066,0,0,0,1,0,0
289,AH17C074,0,0,0,1,0,0
290,AH17C017,0,0,0,1,0,0
291,AH17D033,0,0,0,0,1,0
292,AH17D110,0,0,0,0,1,0
293,AH17A007,0,0,0,0,1,0
294,AH17A079,0,0,0,0,1,0
295,AH17C027,0,0,0,0,1,0
296,AH20H012,0,0,0,0,1,0
297,AH17A070,0,0,0,0,1,0
298,AH17B011,0,0,0,0,1,0
299,AH20H045,0,0,0,0,1,0
300,AH17A053,0,0,0,0,1,0
301,CPO527,0,0,0,1,0,0
302,CPO503,0,0,0,0,1,0
303,AH20B029,0,0,0,1,0,0
0,AH21B035,0,0,0,0,1,0
1,AH17A040,0,0,0,1,0,0
2,AH19G035,0,0,0,0,1,0
3,AH17D117,0,1,0,0,0,0
4,AH17E045,0,1,0,0,0,0
5,AH17A050,0,0,0,0,0,1
6,AH17D045,0,0,1,0,0,0
7,AH17B042,1,0,0,0,0,0
8,AH21L066,0,0,0,0,1,0
9,AH17C016,0,0,0,0,1,0
10,AH20L040,0,0,0,0,0,1
11,AH16L040,0,1,0,0,0,0
12,AH20K062,0,1,0,0,0,0
13,AH16L039,0,0,0,1,0,0
14,AH17F072,0,0,0,1,0,0
15,AH17J070,0,0,0,1,0,0
