0,1,2,3,4,5,6,7,id
0.96360016,0.9016247,0.7877833,0.33986992,0.21616103,0.1896768,0.45522967,0.6198576,AH17G012
0.94846356,0.8828081,0.76895463,0.32366738,0.21352509,0.19295093,0.45475394,0.60216177,AH17E017
0.9760655,0.91505444,0.7980271,0.34769812,0.22188765,0.18898624,0.45685294,0.6232584,AH17D047
0.9530801,0.892082,0.777972,0.33375642,0.2148349,0.19043832,0.45083237,0.60808355,AH17E167
0.9638062,0.89807445,0.783784,0.3354171,0.21707541,0.19360024,0.4556433,0.6120786,AH17C069
0.9444933,0.8873625,0.7742654,0.332107,0.21366672,0.18919581,0.44677764,0.60202014,AH17C022
0.9664455,0.90271527,0.78825545,0.33776996,0.21827354,0.19110474,0.45879483,0.61648494,CPO144
0.9493041,0.88615245,0.7727925,0.33205807,0.21417813,0.18924394,0.45067456,0.60783404,AH19E003
0.9129254,0.8489651,0.74114126,0.30282524,0.20304684,0.19201595,0.44695687,0.5794287,AH17B062
0.93348306,0.87506413,0.76413894,0.3225562,0.20882358,0.1904216,0.4460945,0.5951614,CPO155
0.9473423,0.88514745,0.77188164,0.3313728,0.2139166,0.18919566,0.45028114,0.60687387,AH16L023
0.95730966,0.8943965,0.780302,0.33739123,0.21676816,0.18886584,0.45187077,0.61255103,AH19A001
0.95125747,0.888741,0.7754232,0.33363533,0.21503267,0.1884943,0.45036232,0.6087248,AH16L021
0.9521597,0.88864887,0.77463615,0.33264083,0.21463378,0.19015743,0.45109677,0.6081779,AH17E016
0.94627887,0.88368285,0.7713299,0.32838717,0.21268947,0.18948092,0.4505805,0.60405725,AH17B061
0.9676082,0.90604776,0.7889947,0.34338972,0.22039212,0.18630293,0.45505738,0.62003744,AH17B068
0.95855755,0.8938369,0.78049856,0.33282968,0.21476115,0.1934911,0.45554918,0.6102542,AH16L004
0.94729376,0.8840098,0.77175665,0.32921305,0.21222073,0.19015053,0.45068967,0.6057312,AH19D057
0.9272358,0.8655695,0.756411,0.31554362,0.20734502,0.1900994,0.44822606,0.5915148,AH17D116
0.946697,0.88223237,0.76941687,0.3244008,0.21262945,0.19211777,0.45237285,0.6007213,AH17D050
0.9280995,0.87443733,0.7625404,0.32649666,0.20971863,0.18593393,0.4403372,0.5942604,CPO148
0.9539128,0.8902981,0.77613556,0.33228114,0.21396539,0.18979935,0.4526903,0.6100531,AH21H019
0.9484431,0.8859045,0.772842,0.32970938,0.21315996,0.19035898,0.45237264,0.60691476,CPO509
0.97678024,0.9116955,0.7939578,0.34002286,0.22230151,0.19458081,0.4624351,0.6205142,AH16L015
0.9503054,0.8864389,0.7724734,0.3301754,0.21379966,0.18889922,0.45165074,0.60688907,AH17D096
0.9629788,0.9011734,0.78489864,0.3399078,0.21894479,0.1871676,0.45493266,0.6173029,AH20F061
0.9474854,0.8831431,0.76982677,0.32574114,0.2121769,0.19116722,0.45296812,0.60317886,CPO506
0.9457415,0.8857515,0.7727369,0.32965568,0.21243379,0.19182467,0.44938806,0.60253966,AH20I061
0.95372695,0.8891759,0.77531046,0.32975167,0.21424393,0.19084111,0.45377344,0.6071437,AH20E072
0.94431615,0.880112,0.7682698,0.32338685,0.21184023,0.19245034,0.45263326,0.5999621,CPO168
0.94276714,0.8852085,0.7727623,0.32929063,0.21203767,0.19040425,0.4478055,0.6013058,AH17A074
0.96716374,0.90599877,0.7894199,0.3440985,0.22003803,0.18670055,0.45434752,0.6212591,CPO486
0.95786494,0.89504987,0.7804749,0.336701,0.21666636,0.18926248,0.45338687,0.6134418,AH17E168
0.97732174,0.9141146,0.7952171,0.34809825,0.22318688,0.18676522,0.45730618,0.6264987,AH20B011
0.9451386,0.88168585,0.7686613,0.32745397,0.21303459,0.18881406,0.4503979,0.6029843,AH17A081
0.94533795,0.882189,0.7711607,0.3257883,0.21281308,0.19057295,0.4522818,0.6012187,AH17E089
0.9514399,0.8929443,0.77831495,0.33626023,0.21538751,0.18811682,0.44846275,0.60848427,AH21C036
0.9574392,0.895627,0.7808607,0.33733025,0.21680178,0.18890078,0.45127997,0.61207575,AH17B074
0.95852435,0.89359915,0.7788701,0.3312011,0.21740136,0.19110084,0.4572682,0.60961664,AH16L020
0.93463147,0.87541234,0.7654391,0.32340947,0.20801258,0.18933745,0.4472526,0.5987717,AH17D111
0.95264167,0.89037746,0.77617073,0.33521342,0.21579935,0.18847643,0.4508951,0.6105887,AH20G033
0.96768224,0.90811336,0.79433554,0.34502494,0.21896695,0.18832406,0.45398358,0.6230372,CPO135
0.961256,0.89894545,0.7829807,0.33797345,0.21879415,0.18661343,0.45456252,0.6150487,AH17A049
0.94888574,0.88450086,0.77077514,0.32805488,0.2133487,0.19080985,0.45197633,0.6048324,AH17A029
0.9642752,0.9006816,0.78510106,0.33802238,0.21758553,0.18874994,0.45675755,0.6166875,AH17B052
0.9733866,0.91043776,0.7928821,0.3438514,0.22138682,0.19218208,0.4582521,0.6223338,AH17B006
0.9356703,0.8782182,0.7664768,0.32484087,0.20957464,0.1897578,0.44574535,0.5968866,AH19I029
0.9594585,0.8965808,0.7825882,0.33355382,0.21660362,0.19125219,0.4558829,0.61180973,AH17E038
0.94991785,0.8856851,0.7723609,0.33048674,0.21382497,0.19056284,0.45100927,0.6056052,AH17E011
0.94122285,0.87755615,0.76681864,0.32305863,0.21041901,0.19086985,0.45129246,0.5995936,AH17E015
0.9479056,0.88548374,0.7744365,0.32994813,0.21203311,0.19088095,0.45105508,0.60606056,AH17D106
0.937412,0.8752026,0.76520777,0.3244656,0.21016894,0.19134328,0.4487374,0.5981445,AH17B001
0.9361657,0.874592,0.7635212,0.3227375,0.20972167,0.18889983,0.44861344,0.5973012,AH17E032
0.94704723,0.8856129,0.7735189,0.33049837,0.21242702,0.18872684,0.4500555,0.6066202,AH17A041
0.9564702,0.8944899,0.7801373,0.33386865,0.2154007,0.1908465,0.45292678,0.6090869,AH17D094
0.9507612,0.8868979,0.7738869,0.33119926,0.2138804,0.19114885,0.45199308,0.60701966,AH17B009
0.94804657,0.8833116,0.7711732,0.32778066,0.21309072,0.19252017,0.45121443,0.6022795,AH18L045
0.98234725,0.920201,0.80207735,0.3523839,0.22505224,0.18939272,0.45665485,0.6285536,AH17A043
0.9733613,0.90825224,0.7908509,0.33879218,0.22145207,0.19436203,0.46159086,0.6192402,AH21G049
