0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,id
0.22146425,0.7735971,0.5047858,0.47516933,0.889485,0.8372083,0.78578264,0.65316194,0.96108514,0.7667333,0.15841246,0.756054,0.759685,0.13033769,0.3443466,0.28556564,AH16L021
0.22117496,0.7754875,0.5052871,0.4765073,0.8907492,0.8387756,0.7871737,0.65542394,0.9626474,0.7688064,0.15868814,0.7580066,0.7611943,0.1311695,0.34460902,0.28544107,AH17E016
0.21927123,0.77226394,0.50235456,0.47516957,0.8866355,0.8360597,0.78500813,0.6531292,0.95896673,0.76613176,0.1585731,0.7547885,0.7572401,0.13035482,0.3424469,0.28467527,AH17B061
0.22387266,0.7899449,0.5130831,0.4864993,0.9050593,0.8553947,0.803991,0.66781086,0.9784678,0.78418636,0.1611093,0.77316064,0.7737466,0.13471664,0.3510567,0.2894187,AH17B068
0.22284321,0.7785697,0.5078632,0.47760785,0.8944492,0.841727,0.7907861,0.6560096,0.96562564,0.7707448,0.1590972,0.7593278,0.7638247,0.13055815,0.34693852,0.28719065,AH16L004
0.22043237,0.7731747,0.5039581,0.4739533,0.8893205,0.836592,0.7843191,0.65287185,0.96030974,0.7656175,0.15827829,0.7548529,0.7581579,0.1300935,0.34343335,0.28571364,AH19D057
0.214758,0.7574038,0.49274048,0.46680984,0.87121063,0.8202753,0.7681261,0.6411569,0.9423727,0.7506841,0.15677083,0.7410261,0.7423754,0.12647483,0.33417538,0.2809092,AH17D116
0.21761566,0.76606274,0.49858502,0.4713247,0.87952745,0.8285508,0.7784316,0.6471122,0.95103914,0.7596532,0.15772653,0.74838495,0.7506651,0.12863584,0.3401601,0.28236347,AH17D050
0.21611631,0.7580837,0.4938953,0.4673698,0.8715557,0.82198185,0.7731291,0.63952,0.9458562,0.75148237,0.15729772,0.74359775,0.7464489,0.12887722,0.33880338,0.28287238,CPO148
0.22087786,0.7769905,0.5057321,0.47683,0.89273465,0.8406342,0.7885498,0.65620565,0.96396935,0.76996166,0.1586009,0.7586073,0.76101506,0.13153213,0.34510535,0.28594473,AH21H019
0.22108479,0.7711364,0.50275284,0.47385958,0.8866601,0.8345015,0.78233236,0.650772,0.9585611,0.7638126,0.15818314,0.75374895,0.75702953,0.12935928,0.34293354,0.28511965,CPO509
0.22721878,0.7931128,0.5175539,0.48853716,0.9113351,0.85946554,0.8067868,0.6720235,0.9851029,0.7872713,0.16193736,0.77761006,0.78018343,0.1332152,0.35383746,0.29197007,AH16L015
0.2188673,0.7714658,0.5015599,0.47469586,0.88527226,0.83472514,0.78431,0.65172905,0.95686275,0.7649521,0.15860082,0.7534415,0.7559987,0.1307806,0.34212908,0.28361452,AH17D096
